Lang,Set,totalTags,detectedTags,common,totalLM,detectedLM,irrelevent
bn,train,13222,9088,4733,10904,3245,333
bn,dev,674,429,244,572,146,7
de,train,15950,8664,2970,8352,1866,2678
de,dev,840,446,166,437,101,132
en,train,25448,18070,5232,14491,4492,1429
en,dev,1295,924,268,728,235,11
es,train,23904,16275,3607,8787,3007,2355
es,dev,1229,789,167,446,141,99
fa,train,23655,21231,12057,29814,11495,3860
fa,dev,1235,1095,633,1643,588,102
fr,train,26376,17576,4422,11710,3316,546
fr,dev,1351,884,231,643,169,4
hi,train,12869,10209,4569,9457,3850,315
hi,dev,683,509,237,467,183,6
it,train,26436,17630,5540,13695,4844,4156
it,dev,1395,955,307,766,282,239
pt,train,24438,16689,3894,9304,2983,431
pt,dev,1290,824,195,440,134,4
sv,train,25413,18700,4723,12263,3857,503
sv,dev,1390,965,256,672,195,3
uk,train,21955,10136,4825,11713,2828,323
uk,dev,1134,500,231,607,133,2
zh,train,15226,6553,4308,13114,2755,4796
zh,dev,772,297,247,662,141,199
